"NBa7we src","d4r55","rsqaWe","wiI7pd"
"https://lh3.googleusercontent.com/a-/ALV-UjX6xCHQw0USJTADJ8AsGpPFiAbgORfLwLW1x-XcGtXhXq8g8hUl=w36-h36-p-rp-mo-br100","Christopher Ramos","3 months ago","Thank you ! Fast and quick Removal of our construction debris highly recommend will use again !"
"https://lh3.googleusercontent.com/a/ACg8ocJh-G_BCB4UBDQNM4gCmwddgBcrKJhV9sASrqRjwkgFuz3o=w36-h36-p-rp-mo-br100","Jeff Harris","4 months ago","This fellow's rates are reasonable, he's professional, on-time, and thoroughly a joy to contact and have the tasks needing done get taken care of promptly and thoroughly."
"https://lh3.googleusercontent.com/a/ACg8ocIfHIpqNwT9-0aIJXF0lzDmTEcJwsgP1UwTCw3iJMNHJTzO=w36-h36-p-rp-mo-br100","Liz","4 months ago","Christopher had excellent communication, came in and got the job done next day. Highly recommended!"
"https://lh3.googleusercontent.com/a-/ALV-UjUqebrApaPbaCEir4AIX5YYf_4R7IQtkrrGKjn7M17A-sa4MVSb=w36-h36-p-rp-mo-br100","Charles Stewart","3 months ago","Super friendly, quick service and great communication. Will be using this service again :)"
"https://lh3.googleusercontent.com/a/ACg8ocL_hku_v9rbk0hmfb_HIoHC8dIMRSXGWwVHhbpnJy8F_hnhRA=w36-h36-p-rp-mo-ba12-br100","Ben Compton","4 months ago","Superior professionalism, courtesy and service at an amazing price! Highly recommend!"
"https://lh3.googleusercontent.com/a-/ALV-UjXwYW4Yue0v9vZ8sOl_nqvk3iPNvEJ0v1fH57vWpQlpoGavPf8=w36-h36-p-rp-mo-ba12-br100","HAWG Holsters","4 months ago","They make the junk  go away.  Honest prices.  Hard working."
"https://lh3.googleusercontent.com/a/ACg8ocLKzDdBFMYAKhuvtvmxwGn0GXftVmv9G-RjckVGS1AgN1d8aw=w36-h36-p-rp-mo-br100","Mark Miranda","4 months ago","Was easy to work with and would highly recommend their service!"
"https://lh3.googleusercontent.com/a-/ALV-UjVetLay3VZivQ53iy9VDGp5gcP1QjCGv5_Flpf9Nk2boLi5pTNO0g=w36-h36-p-rp-mo-br100","Victoria Villarreal","3 months ago","THANKS FOR HELPING ME OUT ON SUCH A SHORT NOTICE!!!!  I APPRECIATE YOU!!!
DEPENDABLE
PROMPT"
"https://lh3.googleusercontent.com/a/ACg8ocITvDiC4cJq9LmbVWlQgQiZkn91doY9KbcPjs57jRu-afi0bw=w36-h36-p-rp-mo-br100","Jay Flores","3 months ago","Did an amazing job ,great service!👍🏽 …"
"https://lh3.googleusercontent.com/a/ACg8ocIW7GWeVFQ_gpmt87Ue4tav6yoQOTIul2NVCK6Pmus9o0w_lA=w36-h36-p-rp-mo-br100","Jason Rottmann","3 months ago","Chris was great to work with. Top notch."
"https://lh3.googleusercontent.com/a/ACg8ocIyVBa9dJ-jsSs-My1L0fXQ_WN7ih_-4RCURr9MgeYagAYBbQ=w36-h36-p-rp-mo-br100","Salvatore Facista","2 months ago","Quick and professional"
"https://lh3.googleusercontent.com/a-/ALV-UjVHVRtOfbCERitw4jmmeErclab76nQ2jhAKJA841LSTZ4HGYMtB=w36-h36-p-rp-mo-br100","Corrina Torres","2 weeks ago","I had a great experience. I called and he was out the next morning for my things...very quick turn. I offered to help load the things, but he was self sufficient, I didn't need to lift a finger. He came prepared with enough space in his …"
"https://lh3.googleusercontent.com/a-/ALV-UjXxj1pBXt5aTdkWJC3Qu1MX6c6YbTs20NieDI6SZEZbZ3R5TkvL=w36-h36-p-rp-mo-br100","Scott Marquette","a month ago","Today was the 2nd time we've used Christopher's services. He is very professional and efficient. Price was great. And he is just a kind human. Thank you!"
"https://lh3.googleusercontent.com/a-/ALV-UjUov6UfRN6gWXnWLn8mAGirgQ5bZb0iG1EVwCni9nGxWeefxkTH=w36-h36-p-rp-mo-ba12-br100","Christopher Gutierrez","2 months ago","Chris was awesome to work with — super down to earth, friendly, and professional. He responded quickly, showed up exactly when he said he would, and gave me a very fair price. He hauled away a bunch of large heavy boxes with no problem and …"
"https://lh3.googleusercontent.com/a-/ALV-UjXz-W8zECHbWBhVb_i4-7rmB5uAxWyNC0kzqcP3grrPjfY0DW1O=w36-h36-p-rp-mo-br100","doug delandro","2 months ago","Chris did a great job. He was clear and fair in his pricing, punctual and did an exceptional job making sure everything I needed gone was picked up. He even came back the next day for some last items that I needed gone that I had missed. Highy recommend using him."
"https://lh3.googleusercontent.com/a-/ALV-UjViTaJN-2KePWHI1EiCLKpzcq4oriTO0HAHCoty8_OrD4xro8k=w36-h36-p-rp-mo-br100","Makoto Boice","2 months ago","We had a last minute request to get some accumulated clutter removed before moving out. This included a bulky, heavy upright antique piano. Definitely not the easiest thing to remove (or move for that matter), but these guys got it done."
"https://lh3.googleusercontent.com/a-/ALV-UjV-aSyBrdFN80Nw9qFSaRMc86dcJIHkL18ER1_NwL7UB4QhIkE=w36-h36-p-rp-mo-br100","Celine Sabo","3 months ago","Chris is your man if you are looking to move or haul furniture & household/ office items! He responds quickly with a fast quote, & delivers on his promises with real strength & professional, friendly communication. His pricing is extremely fair and he expedited my move with great care!"
"https://lh3.googleusercontent.com/a-/ALV-UjVriHANj-dbRjDhuXyrIAq2bbRNpOoFkjKEzTckP95nRpXBk7xJ=w36-h36-p-rp-mo-br100","Haley Smith","a week ago",""
"https://lh3.googleusercontent.com/a-/ALV-UjUHxepPraCtTmQeMIwmp6fgwgRC4vpbVn2_D746u3Q1DkeZYmiAXQ=w36-h36-p-rp-mo-br100","Jeff Swanson","a month ago",""
